prodName,prodId,sponsoredProduct,sellPrice,ListPrice,freeShip,AveRating,reviewCount,brandName,sellerName,pageNum,pageRank,prodURL
"HP 15 Laptop 15.6"" Touchscreen , Intel Pentium Silver N5000, Intel UHD Graphics 605, 500GB HDD, 4GB SDRAM, DVD, Scarlet Red, 15-bs244wm",32224106,FALSE,$389.00 ,,Not Available,2.725,40,HP,El Chasqui USA Company,2,13,/ip/HP-15-Laptop-15-6-Touchscreen-Intel-Pentium-Silver-N5000-Intel-UHD-Graphics-605-500GB-HDD-4GB-SDRAM-DVD-Scarlet-Red-15-bs244wm/932224106
"HP 15 Laptop 15.6"" , AMD Ryzen 3 2200U, AMD Radeon Vega 3, 1TB HDD, 4GB SDRAM, Jet Black, 15-db0066wm",71500900,FALSE,$359.00 ,,Available,4.3333,3,HP,Walmart,2,14,/ip/HP-15-Laptop-15-6-AMD-Ryzen-3-2200U-AMD-Radeon-Vega-3-1TB-HDD-4GB-SDRAM-Jet-Black-15-db0066wm/471500900
"HP 15 Laptop 15.6"", AMD Ryzen 5 2500U, AMD Radeon Vega 8 Graphics, 1TB HDD, 8GB SDRAM, 15-db0069wm, Jet Black",86359825,FALSE,$448.99 ,,Not Available,4.0227,88,HP,PT ELIFE LLC,2,15,/ip/HP-15-Laptop-15-6-AMD-Ryzen-5-2500U-AMD-Radeon-Vega-8-Graphics-1TB-HDD-8GB-SDRAM-15-db0069wm-Jet-Black/286359825
"HP Pavilion 15 Laptop 15.6"" Touchscreen, Intel Core i7-8550U , Intel UHD Graphics 620, 1TB HDD + 16GB Intel Optane memory, 8GB SDRAM, 15-cs0072wm",9890081,FALSE,$749.00 ,,Available,4,5,HP,Walmart,2,16,/ip/HP-Pavilion-15-Laptop-15-6-Touchscreen-Intel-Core-i7-8550U-Intel-UHD-Graphics-620-1TB-HDD-16GB-Intel-Optane-memory-8GB-SDRAM-15-cs0072wm/509890081
"Lenovo ThinkPad P51 Mobile Workstation Laptop - Windows 10 Pro - Intel Xeon E3-1535M, 32GB ECC RAM, 500GB SSD + 1TB HDD, 15.6"" UHD 4K 3840x2160 Display, NVIDIA Quadro M2200M 4GB GPU, SmartCard Reader",16836808,FALSE,"$3,199.21 ",,Not Available,0,,Lenovo,Deus PC,2,17,/ip/Lenovo-ThinkPad-P51-Mobile-Workstation-Laptop-Windows-10-Pro-Intel-Xeon-E3-1535M-32GB-ECC-RAM-500GB-SSD-1TB-HDD-15-6-UHD-4K-3840x2160-Display-NVIDIA-/816836808
"Dell Inspiron 11 3000 11.6"" HD 2-in-1 Laptop, AMD A6-9220e, 4GB 2400MHz DDR4, 32GB eMMC Storage, Windows 10 - Grey - I3185A760GRY",77409234,FALSE,$209.00 ,,Not Available,3.3228,793,Dell,Walmart,2,18,/ip/Dell-Inspiron-11-3000-11-6-HD-2-in-1-Laptop-AMD-A6-9220e-4GB-2400MHz-DDR4-32GB-eMMC-Storage-Windows-10-Grey-I3185A760GRY/777409234
"Lenovo ThinkPad P51 Mobile Workstation Laptop - Windows 7 Pro - Intel Quad-Core i7-7820HQ, 64GB RAM, 4TB SSD, 15.6"" UHD IPS 3840x2160 Display, NVIDIA Quadro M1200M 4GB GPU, Secure Smart Card Reader",71093564,FALSE,"$4,099.21 ",,Not Available,0,,Lenovo,Deus PC,2,19,/ip/Lenovo-ThinkPad-P51-Mobile-Workstation-Laptop-Windows-7-Pro-Intel-Quad-Core-i7-7820HQ-64GB-RAM-4TB-SSD-15-6-UHD-IPS-3840x2160-Display-NVIDIA-Quadro-M/671093564
"HP Stream 14"" Jet Black Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",97424692,FALSE,$234.92 ,,Not Available,3.6053,38,HP,SaveMore$,2,20,/ip/HP-Stream-14-Jet-Black-Laptop-Windows-10-Home-Office-365-Personal-1-year-included-Intel-Celeron-N3060-Processor-4GB-RAM-32GB-eMMC-Storage/197424692
"Refurbished HP 15-da0032wm 15.6"" Laptop, i3-8130U 4GB RAM, 16GB Intel Optane Memory, 1TB HDD, Silver",60200845,FALSE,$279.00 ,,Not Available,0,,HP,Walmart,3,1,/ip/Refurbished-HP-15-da0032wm-15-6-Laptop-i3-8130U-4GB-RAM-16GB-Intel-Optane-Memory-1TB-HDD-Silver/460200845
"HP 15 Graphite Mist Laptop 15.6"" Touchscreen , Intel Core i7-8550U, Intel UHD Graphics 620, 1TB HDD + 16GB Intel Optane memory, 4GB SDRAM, DVD, 15-da0073wm",450986,FALSE,$669.00 ,,Available,4.1429,7,HP,Walmart,3,2,/ip/HP-15-Graphite-Mist-Laptop-15-6-Touchscreen-Intel-Core-i7-8550U-Intel-UHD-Graphics-620-1TB-HDD-16GB-Intel-Optane-memory-4GB-SDRAM-DVD-15-da0073wm/600450986
"HP Envy X360 Convertible Laptop 15.6"" FHD Touchscreen, Intel Core i7-8550U, Intel UHD Graphics 620, 1TB HDD + 16GB Intel Optane memory, 4GB SDRAM, 15-bp152wm Dark Ash Silver",57124888,FALSE,$949.00 ,,Available,3.7143,7,HP,Walmart,3,3,/ip/HP-Envy-X360-Convertible-Laptop-15-6-FHD-Touchscreen-Intel-Core-i7-8550U-Intel-UHD-Graphics-620-1TB-HDD-16GB-Intel-Optane-memory-4GB-SDRAM-15-bp152wm/757124888
"Refurbished HP 640 G1 14"" Laptop, Windows 10 Pro, Intel Core i5-4300M Processor, 8GB RAM, 500GB Hard Drive",55855201,FALSE,$239.98 ,,Not Available,4.2273,44,HP,Walmart,3,4,/ip/Refurbished-HP-640-G1-14-Laptop-Windows-10-Pro-Intel-Core-i5-4300M-Processor-8GB-RAM-500GB-Hard-Drive/55855201
"Acer A315-51-380T 15.6"" Laptop, 7th Gen Intel Core i3-7100U, 4GB DDR4, 1TB HDD, Windows 10 Home",77478400,FALSE,$379.99 ,,Not Available,3.8214,28,Acer,EZ Tech,3,5,/ip/Acer-A315-51-380T-15-6-Laptop-7th-Gen-Intel-Core-i3-7100U-4GB-DDR4-1TB-HDD-Windows-10-Home/677478400
"HP Jaguar 15-bs070wm, 15.6"" Natural Silver Touch Laptop, Windows 10, Intel Core i5-7200U Processor, 8GB Memory, 1TB Hard Drive",91615728,FALSE,$458.01 ,,Not Available,4.2222,27,HP,Tech Max,3,6,/ip/HP-Jaguar-15-bs070wm-15-6-Natural-Silver-Touch-Laptop-Windows-10-Intel-Core-i5-7200U-Processor-8GB-Memory-1TB-Hard-Drive/291615728
"HP Turbo Silver 15-f271wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard drive, and Windows 10 Home",46429961,FALSE,$335.95 ,,Available,4,103,HP,EZ Tech,3,7,/ip/HP-Turbo-Silver-15-f271wm-Laptop-PC-with-Intel-Pentium-N3540-Processor-4GB-Memory-500GB-Hard-drive-and-Windows-10-Home/46429961
"HP 15 Silver Fusion Laptop 15.6"" Touchscreen , Intel Core i3-8130U, Intel UHD Graphics 620, 1TB HDD + 16GB Intel Optane memory, 4GB SDRAM, DVD, 15-da0033wm",79807165,FALSE,$469.00 ,,Available,2.4,5,HP,Walmart,3,8,/ip/HP-15-Silver-Fusion-Laptop-15-6-Touchscreen-Intel-Core-i3-8130U-Intel-UHD-Graphics-620-1TB-HDD-16GB-Intel-Optane-memory-4GB-SDRAM-DVD-15-da0033wm/179807165
"HP Pavilion 15-cr0053wm X360 Touch Convertible Laptop, Intel Core i5-8250U Processor; 4GB SDRAM Memory, 16GB Intel Optane Memory, 1TB Hard Drive, Pale Gold",86711500,FALSE,$699.00 ,,Available,4.5,4,HP,Walmart,3,9,/ip/HP-Pavilion-15-cr0053wm-X360-Touch-Convertible-Laptop-Intel-Core-i5-8250U-Processor-4GB-SDRAM-Memory-16GB-Intel-Optane-Memory-1TB-Hard-Drive-Pale-Gold/586711500
"Dell - Inspiron 15.6"" Laptop - AMD A9-- 8GB - AMD Radeon R5 Graphics - 1TB HD - Red",54527141,FALSE,$491.00 ,,Not Available,3.4633,3568,Dell,El Chasqui USA Company,3,10,/ip/Dell-Inspiron-15-6-Laptop-AMD-A9-8GB-AMD-Radeon-R5-Graphics-1TB-HD-Red/54527141
"HP Stream14-cb112wm 14"" Laptop, Windows 10, Office 365 Personal 1-year subscription, IntelCeleronN4000, 4GB Memory, 32GB eMMC Storage, Smoke Gray",72782263,FALSE,$249.00 ,,Not Available,2.5,14,HP,El Chasqui USA Company,3,11,/ip/HP-Stream14-cb112wm-14-Laptop-Windows-10-Office-365-Personal-1-year-subscription-IntelCeleronN4000-4GB-Memory-32GB-eMMC-Storage-Smoke-Gray/872782263
"HP Silver Iridium Ci5 15-cc050wm 15.6"" Laptop, Touchscreen, Windows 10 Home, Intel Core i5-7200U Processor, 12GB Memory, 1TB Hard Drive",96266165,FALSE,$554.80 ,,Available,4.3333,36,HP,EZ Tech,3,12,/ip/HP-Silver-Iridium-Ci5-15-cc050wm-15-6-Laptop-Touchscreen-Windows-10-Home-Intel-Core-i5-7200U-Processor-12GB-Memory-1TB-Hard-Drive/796266165
"Dell G3 15 Gaming Laptop, 15.6”, Intel® Core™ i5-8300H, NVIDIA® GeForce® GTX 1050 4GB, 128 GB (SSD) Storage + 1 TB HDD, 8GB RAM, G3579-5941BLK-PUS",39812185,FALSE,$949.00 ,,Not Available,4,1,Dell,ELAVA LLC,3,13,/ip/Dell-G3-15-Gaming-Laptop-15-6-Intel-Core-i5-8300H-NVIDIA-GeForce-GTX-1050-4GB-128-GB-SSD-Storage-1-TB-HDD-8GB-RAM-G3579-5941BLK-PUS/239812185
"HP Onyx Blizzard 15.6"" Laptop, FHD Screen, Intel core i5-7300hq, AMD Radeon RX 550 2GB Graphic Card, 12GB Memory, 1TB HD, Windows 10 home, 15-cb035wm",99944406,FALSE,$575.68 ,,Not Available,4.2,5,HP,Oasis Express L.L.C.,3,14,/ip/HP-Onyx-Blizzard-15-6-Laptop-FHD-Screen-Intel-core-i5-7300hq-AMD-Radeon-RX-550-2GB-Graphic-Card-12GB-Memory-1TB-HD-Windows-10-home-15-cb035wm/799944406
"HP Flyer Red 15.6"" 15-f272wm Laptop PC with Intel Pentium N3540 Processor, 4GB Memory, 500GB Hard Drive and Windows 10 Home",46429958,FALSE,$369.00 ,,Not Available,3.6782,519,HP,El Chasqui USA Company,3,15,/ip/HP-Flyer-Red-15-6-15-f272wm-Laptop-PC-with-Intel-Pentium-N3540-Processor-4GB-Memory-500GB-Hard-Drive-and-Windows-10-Home/46429958
"HP Pavilion 15.6"" Gaming Laptop Intel Core i5+8300H, NVIDIA GeForce GTX 1050 4GB GPU, 8GB RAM, 16 GB Intel Optane + 1TB HDD Storage, Windows 10, 15-cx0058wm",75791924,FALSE,$829.00 ,,Available,3.1667,12,HP,Walmart,3,16,/ip/HP-Pavilion-15-6-Gaming-Laptop-Intel-Core-i5-8300H-NVIDIA-GeForce-GTX-1050-4GB-GPU-8GB-RAM-16-GB-Intel-Optane-1TB-HDD-Storage-Windows-10-15-cx0058wm/475791924
"HP Silver Iridium 15.6"" Laptop, Touchscreen, Intel Core i7-7500u, Intel HD Graphic 620 Graphic Card, 12GB Memory, 1TB HD, Windows 10 Home, 15-cc060wm",19168338,FALSE,$568.95 ,,Not Available,4,17,HP,Tech Max,3,17,/ip/HP-Silver-Iridium-15-6-Laptop-Touchscreen-Intel-Core-i7-7500u-Intel-HD-Graphic-620-Graphic-Card-12GB-Memory-1TB-HD-Windows-10-Home-15-cc060wm/619168338
"HP Stream 11-ah111wm 11.6"" Laptop, Windows 10, Office 365 Personal 1-year subscription, IntelCeleronN4000, 4GB Memory, 32GB eMMC Storage, Aqua Blue",58728024,FALSE,$199.00 ,,Not Available,3.25,4,HP,Walmart,3,18,/ip/HP-Stream-11-ah111wm-11-6-Laptop-Windows-10-Office-365-Personal-1-year-subscription-IntelCeleronN4000-4GB-Memory-32GB-eMMC-Storage-Aqua-Blue/358728024
"Refurbished HP Stream Laptop 14-ax030wm N3060 CPU, 4GB RAM, 32GB HD",56136485,FALSE,$242.00 ,,Not Available,3.4667,15,HP,El Chasqui USA Company,3,19,/ip/Refurbished-HP-Stream-Laptop-14-ax030wm-N3060-CPU-4GB-RAM-32GB-HD/56136485
"Acer 15.6"" Aspire 3 Laptop AMD 3 GHz 6 GB Ram 1TB HDD Windows 10 Home | Manufacturer Refurbished",62037372,FALSE,$245.00 ,,Not Available,1,1,Acer,Walmart,3,20,/ip/Acer-15-6-Aspire-3-Laptop-AMD-3-GHz-6-GB-Ram-1TB-HDD-Windows-10-Home-Manufacturer-Refurbished/462037372
"Refurbished Dell Latitude E6430 14.1"" Laptop, Windows 10 Pro, Intel Core i5-3320M Processor, 8GB RAM, 500GB Hard Drive",54392412,FALSE,$188.99 ,,Not Available,1.7143,7,Dell,Zoom,4,1,/ip/Refurbished-Dell-Latitude-E6430-14-1-Laptop-Windows-10-Pro-Intel-Core-i5-3320M-Processor-8GB-RAM-500GB-Hard-Drive/54392412
"HP Stream 14"" Laptop, Windows 10 Home, Office 365 Personal 1-year included, Intel Celeron N3060 Processor, 4GB RAM, 32GB eMMC Storage",54056480,FALSE,$235.00 ,,Not Available,2.7964,167,HP,El Chasqui USA Company,4,2,/ip/HP-Stream-14-Laptop-Windows-10-Home-Office-365-Personal-1-year-included-Intel-Celeron-N3060-Processor-4GB-RAM-32GB-eMMC-Storage/54056480
